,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ct__subpipe_num__num_impute__strategy,param_ct__subpipe_num__poly__degree,param_fsm_1__C,param_fsm_1__max_iter,param_fsm_1__solver,param_fsm_1__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.0408900260925293,0.002296418151395362,0.00774540901184082,0.0010840247002657027,mean,1,0.001,100,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
43,0.04019904136657715,0.0022184102257493113,0.007710123062133789,0.000627157606563423,mean,1,0.001,100,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.694,0.73,0.704,0.702,0.7154308617234469,0.7090861723446894,0.012500550820993054,825
44,0.04919729232788086,0.003620101853804851,0.007744312286376953,0.0014771501092354635,mean,1,0.001,100,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
45,0.04862499237060547,0.002962527722656301,0.008295965194702149,0.0008398937396338906,mean,1,0.001,100,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
46,0.048098087310791016,0.0022397523127232854,0.006531381607055664,0.000533693555652966,mean,1,0.001,100,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
47,0.047046327590942384,0.0029297467416061073,0.0062312126159667965,0.00036318049773989184,mean,1,0.001,100,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.718,0.752,0.716,0.72,0.7254509018036072,0.7262901803607213,0.013235410727442812,721
48,0.04134745597839355,0.0034006611875662313,0.007680702209472656,0.00166877824501604,mean,1,0.001,1000,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
49,0.0416008472442627,0.00521670077823421,0.008079004287719727,0.0015600551772644538,mean,1,0.001,1000,liblinear,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.001}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
50,0.04154071807861328,0.0024325285962746887,0.00785531997680664,0.0004726346217935497,mean,1,0.001,1000,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
51,0.0411738395690918,0.003193582853212307,0.00794377326965332,0.0011693639864568304,mean,1,0.001,1000,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.694,0.73,0.704,0.702,0.7154308617234469,0.7090861723446894,0.012500550820993054,825
52,0.056054115295410156,0.013966145135646662,0.00777130126953125,0.0008616004298076363,mean,1,0.001,1000,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
53,0.05238575935363769,0.003388435235197244,0.0073356151580810545,0.0011201260631297403,mean,1,0.001,1000,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
54,0.050287055969238284,0.002062772935005344,0.006941747665405273,0.0009868807965091007,mean,1,0.001,1000,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
55,0.0473442554473877,0.002157256844130096,0.00825948715209961,0.0013660433404906812,mean,1,0.001,1000,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 1000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.718,0.752,0.716,0.72,0.7254509018036072,0.7262901803607213,0.013235410727442812,721
56,0.04338240623474121,0.0014167516393958398,0.007689237594604492,0.0013171339576308035,mean,1,0.001,10000,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
57,0.039899349212646484,0.0041655216851363055,0.007882165908813476,0.001042869436276993,mean,1,0.001,10000,liblinear,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.001}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
58,0.038852882385253903,0.0029858808217534706,0.006473398208618164,0.0006320546159537021,mean,1,0.001,10000,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.696,0.73,0.704,0.704,0.7154308617234469,0.7098861723446893,0.011810414686907782,801
59,0.0397984504699707,0.0028648591842362417,0.0065288543701171875,0.0006596138581754069,mean,1,0.001,10000,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.694,0.73,0.704,0.702,0.7154308617234469,0.7090861723446894,0.012500550820993054,825
60,0.04856867790222168,0.00396739023784709,0.0070097923278808595,0.0011009617796177479,mean,1,0.001,10000,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
61,0.048304271697998044,0.0028234691753739505,0.007529449462890625,0.001430697813613418,mean,1,0.001,10000,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
62,0.04750428199768066,0.003277791006305166,0.008084583282470702,0.0006570275925361277,mean,1,0.001,10000,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.718,0.752,0.718,0.72,0.7254509018036072,0.7266901803607213,0.012945422080238678,697
63,0.050055932998657224,0.002533969900039586,0.007147789001464844,0.0010936408097003624,mean,1,0.001,10000,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.001, 'fsm_1__max_iter': 10000, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.718,0.752,0.716,0.72,0.7254509018036072,0.7262901803607213,0.013235410727442812,721
64,0.043156671524047854,0.005502229275326063,0.00793147087097168,0.001005728301614837,mean,1,0.01,10,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
65,0.04392819404602051,0.00486912036823461,0.007518148422241211,0.0007434919009762383,mean,1,0.01,10,liblinear,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
66,0.0419499397277832,0.0020918481211439095,0.007270717620849609,0.0008687944443589742,mean,1,0.01,10,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.758,0.772,0.738,0.756,0.7655310621242485,0.7579062124248497,0.011460130157838767,577
67,0.0428011417388916,0.001653135175938738,0.0073220252990722655,0.0010540185200132043,mean,1,0.01,10,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.76,0.77,0.738,0.754,0.7595190380761523,0.7563038076152304,0.010506399322756111,633
68,0.05560455322265625,0.009022332097406244,0.01039261817932129,0.002469700243490195,mean,1,0.01,10,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.758,0.772,0.738,0.754,0.7615230460921844,0.7567046092184369,0.011099744748262122,625
69,0.06356124877929688,0.005610480719454159,0.010833024978637695,0.0033245932545846488,mean,1,0.01,10,lbfgs,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.001}",0.758,0.772,0.738,0.754,0.7615230460921844,0.7567046092184369,0.011099744748262122,625
70,0.06421551704406739,0.012430420270785765,0.011315202713012696,0.005564231505572167,mean,1,0.01,10,lbfgs,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.01}",0.758,0.772,0.738,0.754,0.7615230460921844,0.7567046092184369,0.011099744748262122,625
71,0.06314129829406738,0.007681713057800754,0.012049531936645508,0.0023336371675886924,mean,1,0.01,10,lbfgs,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 10, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.1}",0.758,0.772,0.738,0.754,0.7615230460921844,0.7567046092184369,0.011099744748262122,625
72,0.06742911338806153,0.01574838903055202,0.008251190185546875,0.001705114852580739,mean,1,0.01,100,liblinear,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.0001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
73,0.05255250930786133,0.006039220717565419,0.011193513870239258,0.0012000476645347934,mean,1,0.01,100,liblinear,0.001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.001}",0.758,0.772,0.738,0.756,0.7635270541082164,0.7575054108216432,0.011218959264017453,585
74,0.05608081817626953,0.0031042200409156645,0.010681056976318359,0.00054953438768429,mean,1,0.01,100,liblinear,0.01,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.01}",0.758,0.772,0.738,0.756,0.7655310621242485,0.7579062124248497,0.011460130157838767,577
75,0.05497622489929199,0.0067138188872442285,0.01121973991394043,0.0023413994708898715,mean,1,0.01,100,liblinear,0.1,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'liblinear', 'fsm_1__tol': 0.1}",0.76,0.77,0.738,0.754,0.7595190380761523,0.7563038076152304,0.010506399322756111,633
76,0.07435808181762696,0.0024394938524431083,0.009811782836914062,0.0014539327607444711,mean,1,0.01,100,lbfgs,0.0001,"{'ct__subpipe_num__num_impute__strategy': 'mean', 'ct__subpipe_num__poly__degree': 1, 'fsm_1__C': 0.01, 'fsm_1__max_iter': 100, 'fsm_1__solver': 'lbfgs', 'fsm_1__tol': 0.0001}",0.758,0.772,0.74,0.756,0.7615230460921844,0.7575046092184368,0.010345866746052432,601
